waste_material,need_material,compatibility_score,tier,symbiosis_pathway,taiwan_case_evidence,source,notes
chemical_solvent,chemical_solvent,95.0,HIGH,Direct solvent recovery and reuse via distillation,Linhai Industrial Park — petrochemical to chemical sector solvent recovery loop documented 2019-2023,MAESTRI Deliverable 4.3 + Taiwan EPA Industrial Waste Exchange Database,Same-material direct reuse. Highest possible score. Distillation recovery rate >85% reported in Taiwan.
metal_offcut,metal_offcut,90.0,HIGH,Scrap metal direct reuse via EAF remelting,Linhai Industrial Park — steel/aluminum scrap from fabrication shops fed directly to EAF furnaces,World Steel Association 2023 + Taiwan Metal Industries R&D Centre,EAF route standard in Taiwan. Avoids virgin ore extraction entirely.
plastic_offcut,plastic_offcut,88.0,HIGH,Mechanical recycling into secondary resin pellets,Taiwan plastics recycling cluster (Tainan/Kaohsiung) — offcut regrind fed back into injection moulding,Taiwan Plastics Industry Association 2022,Clean plastic offcut recycled at >80% efficiency in Taiwan industrial clusters.
organic_sludge,heat_energy,85.0,HIGH,Anaerobic digestion producing biogas for heat/electricity,Food processing and paper mill sludge digestion plants in Taichung Science Park — biogas recovery operational,MAESTRI Case DB + Taiwan EPA Biogas Subsidy Programme 2021,Anaerobic digestion of organic sludge for biogas is actively subsidised under Taiwan's Renewable Energy Development Act.
water,water,85.0,HIGH,Treated process water direct reuse between facilities,Hsinchu Science Park — semiconductor facility wastewater treated and sold to neighbouring textile plant,Taiwan HIPA (Hsinchu Industrial Park Administration) 2022,Water reuse between adjacent semiconductor and textile facilities is mandatory under Hsinchu Science Park regulations.
water,cooling_systems,85.0,HIGH,Waste cooling water reuse in adjacent facility HVAC,Taiwan Science Parks — chilled water loop sharing between electronics manufacturers,Taiwan Science Park Bureau 2023,Cooling tower blowdown reuse documented across multiple Taiwan science park tenants.
heat_energy,food_drying,83.0,HIGH,Waste heat from industrial boilers used in adjacent food drying ovens,Tainan — steam from petrochemical plant piped to food processing facility for drying operations,Taiwan Industrial Symbiosis Network (TISN) pilot 2020,Waste steam utilisation for food drying eliminates natural gas consumption at receiving factory.
chemical_solvent,textile_dyeing,82.0,HIGH,Recovered solvent reused as dyeing auxiliary or cleaning agent,Formosa Textile cluster — spent solvents from electronics sector recovered and applied in pre-treatment dyeing bath,Taiwan Textile Federation + MOENV Industrial Waste Exchange 2021,Solvent quality must meet textile grade spec; documented partnerships in Tainan/Kaohsiung corridor.
heat_energy,water,80.0,HIGH,Waste steam condensate returned as pre-heated process water,Standard steam-condensate return loop used across Taiwan heavy industry clusters,Taiwan Boiler Safety Association + MAESTRI Toolkit,Condensate return reduces boiler fuel consumption 8-12%. Widely implemented in Kaohsiung industrial districts.
heat_energy,heat_energy,88.0,HIGH,Direct waste heat transfer via district heating loop or heat exchanger,Linhai Industrial Park — inter-facility heat exchanger network connecting steel and chemical plants,Linhai IS Network Annual Report 2022,Direct heat transfer via insulated pipework; documented 15,000 MWh/year exchanged within Linhai.
water,food_processing,80.0,HIGH,Treated process water reused in food plant washing and cooling stages,Taiwan food processing clusters in Tainan — water recycled between factories after biological treatment,Taiwan Food Industry R&D Institute 2021,Requires pH adjustment; water quality must meet food-grade process water standard CNS 10508.
organic_sludge,fertilizer,78.0,HIGH,Composted sludge applied as agricultural soil amendment,Food and paper mill sludge composted and sold to farms in Taichung/Changhua agricultural belt,Taiwan EPA Waste Compost Certification Scheme + Council of Agriculture,Must pass Taiwan EPA compost quality standard (heavy metals below threshold). Widely practiced in central Taiwan.
organic_sludge,agriculture,78.0,HIGH,Treated biosolids applied as soil conditioner to farmland,Municipal and industrial sludge biosolids land-application programme approved by Taiwan EPA,Taiwan EPA Biosolids Reuse Guidelines (2020),Application requires MOENV permit. Pathogen reduction to Class A/B standard mandatory.
