factory_id,name,industry_type,city,latitude,longitude,material_type,weekly_production_kg,surplus_frequency_days,average_surplus_kg,needs_material_type
1,Taiwan Plastics Taipei 01,plastics_manufacturer,Taipei,25.0269,121.6013,chemical_solvent,8641,12,304.41,heat_energy
2,Formosa Textile Tainan 01,textile_dyeing_factory,Tainan,23.0285,120.1897,chemical_solvent,2945,12,906.33,water
3,Pacific Food Tainan 01,food_processing_plant,Tainan,23.0322,120.2212,organic_sludge,2934,10,1150.31,heat_energy
4,SteelTech Kaohsiung 01,metal_fabrication_shop,Kaohsiung,22.6405,120.3272,metal_offcut,3266,12,1939.53,plastic_offcut
5,TaiwanSemi Tainan 01,electronics_manufacturer,Tainan,22.9694,120.2236,chemical_solvent,6119,12,499.26,metal_offcut
6,Yuen Foong Kaohsiung 01,paper_mill,Kaohsiung,22.6741,120.284,organic_sludge,3016,11,1101.65,chemical_solvent
7,Taiwan Plastics Hsinchu 02,plastics_manufacturer,Hsinchu,24.8114,120.9402,chemical_solvent,7261,4,1014.03,heat_energy
8,Formosa Textile Tainan 02,textile_dyeing_factory,Tainan,23.0304,120.2156,chemical_solvent,5603,12,1439.67,water
9,Pacific Food Tainan 02,food_processing_plant,Tainan,22.9506,120.2556,organic_sludge,7177,5,1453.31,heat_energy
10,SteelTech Taichung 02,metal_fabrication_shop,Taichung,24.1546,120.6376,metal_offcut,12051,8,1451.54,plastic_offcut
11,TaiwanSemi Kaohsiung 02,electronics_manufacturer,Kaohsiung,22.6538,120.3149,chemical_solvent,6986,9,1246.24,metal_offcut
12,Yuen Foong Taichung 02,paper_mill,Taichung,24.1414,120.6451,organic_sludge,4381,3,1679.46,chemical_solvent
13,Taiwan Plastics Tainan 03,plastics_manufacturer,Tainan,22.978,120.2063,chemical_solvent,7437,3,1210.58,heat_energy
14,Formosa Textile Kaohsiung 03,textile_dyeing_factory,Kaohsiung,22.6179,120.3328,chemical_solvent,3303,10,221.79,water
15,Pacific Food Tainan 03,food_processing_plant,Tainan,22.9961,120.193,organic_sludge,4951,11,496.49,heat_energy
16,SteelTech Hsinchu 03,metal_fabrication_shop,Hsinchu,24.8019,120.9477,metal_offcut,4685,8,778.91,plastic_offcut
17,TaiwanSemi Hsinchu 03,electronics_manufacturer,Hsinchu,24.86,121.0084,chemical_solvent,2854,4,743.53,metal_offcut
18,Yuen Foong Taoyuan 03,paper_mill,Taoyuan,25.0153,121.2959,organic_sludge,4344,12,356.55,chemical_solvent
19,Taiwan Plastics Taipei 04,plastics_manufacturer,Taipei,25.0032,121.546,chemical_solvent,5668,8,445.89,heat_energy
20,Formosa Textile Taipei 04,textile_dyeing_factory,Taipei,25.0549,121.5586,chemical_solvent,4979,12,1239.41,water
